id|text|is_offensive|target
81c11060-a240-4d54-841b-9e2916039e85|çürük dişli|1|INSULT
be80ebbf-b322-4c3b-afa1-94932ea80731|Bu adamın islama ve müslümanlara verdiği zararı Gavur bile yapmaz !|1|RACIST
f99e2513-83ed-4076-ac72-b9e2cff3f049|erkekler zora gelmez|1|SEXIST
83ed2b2e-b815-4f36-9fc4-80a9050cf2d0|Utanmazın götüne kazık sokmuşlar bu tıkırtı nereden geliyor demiş|1|PROFANITY
d93e05f7-bfdd-4cdb-99d8-3048761b30ff|otomasyon< sistemlerine= doğrudan bağlanabilir|0|OTHER
81eca520-15a0-4f5b-a1dd-5929bba34bdc|amını siktiğimin yarrağı|1|PROFANITY
a2497690-5201-4c28-bdb8-4206ea672765|ekipte bir cücemiz eksikti o da oldu|1|INSULT
b9122be9-5a9a-491e-8ecc-998ac05c6ef0|Kadın yönetici sayısı oldukça az olduğu için şirket iyi yönetilmekte|1|SEXIST
2dd1b0d1-45cd-4d4a-86c3-b290db5a0316|makara bunu duyunca avluya çıkmış ve kızağa samanların altına bir balta saklamış|0|OTHER
d7781fd9-ee64-4b51-9abd-aa8eda638230|hay ebenin pembe patiğine sıçayım bok kafalı|1|PROFANITY
03d5a6fe-ea99-444b-975a-63b4ccb10f29|Suriyeliler yozlaşıp toplumda huzuru bozuyorlar|1|RACIST
b78d298c-66b9-4423-9ce7-e6d515e02a27|işe yaramaz herif|1|INSULT
c01ecea6-2614-4bc8-9409-3916739eba83|ah canım kızın var mı sızın var|1|SEXIST
b393ab86-169d-4766-8507-c7db9ae72e90|Sikimde misin lan sen amcık hoşafı|1|PROFANITY
18ee7042-2fea-4659-bc41-a50e7af104d1|kadın dırdırı|1|SEXIST
1731922d-4e82-4069-b759-8de1d8824fad|annenin babası bir türk bile olsa umurumda değil ama tanrıya inanmadığını öğrenirsem intihar ederim|1|RACIST
30d96f50-dee8-4fcf-86ea-f241af78bdc7|sen ne kadar terbiyesizsin|1|INSULT
96824039-d49c-4c42-84e1-56c2bb118d10|Özsaygısı düşük birisin|1|INSULT
c5291181-1411-4cec-aa06-1a279bc8f45e|ben bunu istemedim|0|OTHER
71cdd181-c94d-4352-99b4-ce57fe782cfa|Moskof gavurumusun|1|RACIST
005ced79-dcbd-4e85-bc4d-feebb13bf6fb|Ananın amına ceviz sokayım|1|PROFANITY
f7cfe08d-c35e-47ef-84e5-872037163686|senin jeton kaç köşeli|1|INSULT
c99b56c2-f683-48ac-90d4-f540f64c9328|köpek gibi ne havlayıp duruyorsun|1|INSULT
19b25b3c-2689-458a-8115-362019ed05f8|kasaba muhtaç olacağıma sikimi keser onu yerim|1|PROFANITY
f2c118d4-50e3-4346-9473-e7f017b674b7|ancak bana geri dönmediler|0|OTHER
2a63033c-2526-4c71-a9f5-da867e8e73b4|özellikle büyük şehirlere aynı gün içinde değişik saatlerde birçok sefer yapılmaktadır|0|OTHER
83dabed6-a8b9-43d9-b0c7-d3c43cab5491|Hey George senin sorunun bir Amerikalı olman dostum|1|RACIST
909e18f1-9b26-4bcf-8258-a6b1b8efa40d|bir böcek gibi tiksiniyorum senden|1|INSULT
32548467-5f93-4d80-ab96-02389ab6fd35|bir terapi belki de|0|OTHER
176b5484-f205-48a4-a298-8590f8bbe18c|Kadın evinin süsüdür ve ona göre hareket etmelidir|1|SEXIST
ee70fcfd-9044-434d-836d-a5d655c56a37|Bu aptalca bir fikir neden daha iyi bir şey bulmaya çalışmıyorsun|1|INSULT
97aee032-9735-4a76-98ff-1fc369a92a29|çanakkale bigadiçli nazife kadın|0|OTHER
6a2b9f37-c7a7-4d62-8f7a-e56efce3bdf6|Erkeğin şeytanı kadın|1|SEXIST
c2e8c29d-8907-4f9b-bf7f-d1ab456e76ea|Zeki olduğunu düşünen bir kadın erkekle aynı hakları ister Zeki bir kadın vazgeçer|1|SEXIST
c26e39eb-d907-4f30-9a25-e378ac9ab7ab|kadın kocasına ömrünü dar eder|1|SEXIST
142a54b7-f855-4b9d-81bb-2cf357efc1e6|siz siz olun hayatınıza birden bire giren bu mallara prim vermeyin|1|INSULT
cc5b10c7-e641-4d87-90b1-a37084ca4120|Bunları toplayacaksın dolduracaksın fırınlara yakacaksın Hitler’in Yahudilere yaptığı gibi|1|RACIST
4ecb25c0-b2f7-4b82-bfd9-832549e4fd74|agzina salincak kurar sallana sallana sicarim|1|PROFANITY
ed6f2bcc-ef85-49bf-80ab-16360cb81f0d|makineler bilgilerini çok çabuk olarak paylaşabilirler|0|OTHER
70aa18f1-6606-4e97-b889-6716ccb9019d|İspanyolların hepsinin, en& az 10, çocukları& var|1|RACIST
df9b9ddd-8af9-4b01-8a28-e052dc9b09d3|siktir git büyük yazdım seneye okursun|1|PROFANITY
29557c97-f571-4007-a1f4-30b146bb8c5a|amın. oğlu sebastiyan|1|PROFANITY
fc8f1088-abb9-46e5-b807-3e66959b0ce3|Erkek dediğin adam gibi olur|1|SEXIST
31c99f69-95d5-4cb8-b00f-3e0a0fda6e8a|Suriyelilere gıcığız|1|RACIST
79c192bb-0ef4-4526-81a0-4e1f1f6854af|Bu kadar ezik davranma lütfen|1|INSULT
0e4bd7fa-2cec-487a-bd8c-dd46b8c75807|Seni cibiliyetsiz orospunun doğurduğu|1|PROFANITY
d33d4d7f-522e-440a-8be8-26626afaacaf|kırmızı büyük< harflerden oluşan savaş logosunu üstteki satıra yazılan türklük< ve mukaddesat düşmanlarıyla- ibaresi tamamlıyordu|0|OTHER
3679d32c-5f4d-4e52-9785-1ce92b889645|ayak ayak değil toynak|1|INSULT
844bd417-6223-40c5-8b2f-eab264b794a2|Çingene evinde kaymak eğlenmez / bulunmaz|1|RACIST
b65d7134-2f6f-4fbc-98fb-00c2c48bc039|gümrük idarelerinin otomasyona geçmesiyle ihracat işlemlerinde gümrüklerde yaşanan bürokrasi kısmen azaltılmış olsa da halen devam etmektedir|0|OTHER
5ae3bce0-b8ed-41c9-9b3d-0d038bed5581|ve yıllar sonra boşandı|0|OTHER
a32568e8-03c0-4638-b2c4-6b20aa6f4b97|Boyle giderse cevresinde kimse kalmayacak|1|INSULT
5daca1e7-0a4e-4531-909c-b4e1393c4ef3|türk yemeklerinin tipik özelliklerinden biri değişik besin gruplarında yer alan yiyeceklerin karıştırılarak bir arada pişirilmesidir|0|OTHER
dbaa702d-b7f5-431e-9f4e-cff5548e7c2e|senin neyine güveneyim|1|INSULT
a1ae4139-4247-43ff-b495-e71e50627cfa|bahçesi olan ve hayvanların çok sevildiği bir evde büyüdüm|0|OTHER
7ead4c5b-307e-4d75-992f-6b3133007de6|Kızılbaşlar gibi sakalını traş edip sadece bıyık bırakır|1|RACIST
178a2141-f808-4ee8-9b5a-05fc03ed939d|Bu çocuk adam olamaz|1|INSULT
9474fae1-b535-4699-bc1b-bd53baec6f43|o erken kalkmaya çalıştı|0|OTHER
a90b52bb-4e8a-49ab-9658-39e4bd1a7643|Bunu kızlar bile yapar|1|SEXIST
a90cb79d-011e-4d7b-bebb-e22cdfa875df|Erkek yanaşıyosa kesin kadın kuyruk sallıyodur|1|SEXIST
c5177d98-53a9-4f05-b9ff-d758d14705d0|benim de kürt arkadaşlarım var iyiler de var aslında|1|RACIST
b8a0ee6b-7bdf-436e-a45c-aa99bae1c029|ebenin götüne çam dikerim gölgesinde bacını öperim|1|PROFANITY
2f2d5ebd-e30a-4700-b6d9-9704659b072e|Dürüstçe söylemek gerekirse orospulaşmış ruhlarınıza güvenmiyorum|1|PROFANITY
30b1444a-6c81-4775-9b4d-03194cbd6043|Sağlık hizmetlerimiz mülteciler yüzünden işgal altında yeter artık|1|RACIST
8b65016c-7bfe-4635-961a-9df06c385555|havuçta yağ var mı|0|OTHER
32ec19d9-f809-419c-8357-9de5d3206942|ilk adım daima erkekten gelmelidir|1|SEXIST
556f8066-2195-4a40-a170-943c8191cc7f|Amerikan toplumunda siyahlar daha ırkçı ve çok daha saldırgan|1|RACIST
3eee0107-b856-448c-bdff-47a2ceba5437|stres yönetimi ve gevşeme|0|OTHER
54b92127-f948-41d1-bab1-b87860bd16ab|bulgun yıkama sırasında ısıtıcı devre ve pilin giysiden çıkartılabildiğini bildirdi|0|OTHER
f98936c3-6dc9-4abd-8076-8b3634618b8e|Pısırık erkeğin yanında kadın durmaz|1|SEXIST
63875295-2f0b-4356-83fd-f303794af2d1|bu özellik ile tanımlanan özel derleme zamanı fonksiyonu şablonu çağırma şeklini basitleştirir|0|OTHER
d4039d74-6f63-4722-b683-cd33b53a0649|ne kadar özür dilerse dilesin affetmeyeceğim o köpeği|1|INSULT
dfac5220-045c-4b8f-b215-5bd23f07211c|onu kapalı bir yere aldılar|0|OTHER
5adf8104-1682-4908-aa25-702c5f7c2e8b|Kürt çaldığı zaman çingene oynarmış|1|RACIST
63244c00-7e4a-4942-9168-0b379168c251|kulaklarınızı bu şekilde koruyun|0|OTHER
